log_timestamp_verbose,log_timestamp_posix,timestamp_verbose,timestamp_posix,interval_sec,msg_source,msg_type,msg_count,msg_served,msg_rejected
2025-11-15 14:40:13.995362,1763242813.9953547,2025-11-15 21:40:13.995,1763242813.995034,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 14:44:58.731829,1763243098.7318268,2025-11-15 21:44:58.731,1763243098.731749,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 14:44:58.731868,1763243098.7318678,2025-11-15 21:44:58.731,1763243098.7318,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 14:44:58.731887,1763243098.7318864,2025-11-15 21:44:58.731,1763243098.731836,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 14:45:14.763105,1763243114.7630973,2025-11-15 21:45:14.762,1763243114.762721,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 14:49:58.443076,1763243398.4430735,2025-11-15 21:49:58.442,1763243398.442897,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 14:49:58.443114,1763243398.4431136,2025-11-15 21:49:58.442,1763243398.442946,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 14:49:58.443130,1763243398.44313,2025-11-15 21:49:58.442,1763243398.44298,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 14:50:15.530991,1763243415.5309849,2025-11-15 21:50:15.530,1763243415.530677,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 14:54:58.059875,1763243698.059872,2025-11-15 21:54:58.59,1763243698.059771,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 14:54:58.059925,1763243698.059924,2025-11-15 21:54:58.59,1763243698.05984,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 14:54:58.059949,1763243698.0599477,2025-11-15 21:54:58.59,1763243698.059889,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 14:55:16.140223,1763243716.1402173,2025-11-15 21:55:16.139,1763243716.139652,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 14:59:58.731301,1763243998.731299,2025-11-15 21:59:58.731,1763243998.731188,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 14:59:58.731337,1763243998.7313366,2025-11-15 21:59:58.731,1763243998.73125,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 14:59:58.731355,1763243998.7313545,2025-11-15 21:59:58.731,1763243998.731284,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 15:00:17.674639,1763244017.6746325,2025-11-15 22:00:17.674,1763244017.674386,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 15:04:58.475133,1763244298.4751308,2025-11-15 22:04:58.475,1763244298.475061,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 15:04:58.475324,1763244298.4753227,2025-11-15 22:04:58.475,1763244298.475276,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 15:04:58.475393,1763244298.4753926,2025-11-15 22:04:58.475,1763244298.475355,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 15:05:18.442578,1763244318.4425724,2025-11-15 22:05:18.442,1763244318.442338,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 15:09:58.380828,1763244598.3808255,2025-11-15 22:09:58.380,1763244598.380615,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 15:09:58.380870,1763244598.3808696,2025-11-15 22:09:58.380,1763244598.38066,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 15:09:58.380886,1763244598.380886,2025-11-15 22:09:58.380,1763244598.380706,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 15:10:19.371898,1763244619.371892,2025-11-15 22:10:19.370,1763244619.370452,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 15:14:59.020749,1763244899.020747,2025-11-15 22:14:59.20,1763244899.020611,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 15:14:59.020787,1763244899.0207868,2025-11-15 22:14:59.20,1763244899.020678,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 15:14:59.020805,1763244899.0208046,2025-11-15 22:14:59.20,1763244899.020712,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 15:15:20.011316,1763244920.0113106,2025-11-15 22:15:20.10,1763244920.010916,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 15:19:59.691016,1763245199.691014,2025-11-15 22:19:59.690,1763245199.690894,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 15:19:59.691055,1763245199.6910548,2025-11-15 22:19:59.690,1763245199.690945,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 15:19:59.691072,1763245199.6910717,2025-11-15 22:19:59.690,1763245199.69098,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 15:20:20.682331,1763245220.6823258,2025-11-15 22:20:20.681,1763245220.681891,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 15:24:59.371955,1763245499.371953,2025-11-15 22:24:59.371,1763245499.371803,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 15:24:59.371992,1763245499.3719919,2025-11-15 22:24:59.371,1763245499.371854,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 15:24:59.372009,1763245499.3720086,2025-11-15 22:24:59.371,1763245499.371889,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 15:25:21.386739,1763245521.3867288,2025-11-15 22:25:21.386,1763245521.386514,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 15:29:59.084019,1763245799.0840166,2025-11-15 22:29:59.83,1763245799.083892,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 15:29:59.084056,1763245799.0840552,2025-11-15 22:29:59.83,1763245799.08394,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 15:29:59.084072,1763245799.0840719,2025-11-15 22:29:59.83,1763245799.083974,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 15:30:22.092013,1763245822.0920072,2025-11-15 22:30:22.91,1763245822.091382,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 15:34:59.819738,1763246099.8197355,2025-11-15 22:34:59.819,1763246099.819639,300.0,speedway-mountain,SSM,300,NA,NA
2025-11-15 15:34:59.819777,1763246099.8197763,2025-11-15 22:34:59.819,1763246099.819688,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 15:34:59.819795,1763246099.8197947,2025-11-15 22:34:59.819,1763246099.819723,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 15:35:22.826264,1763246122.8262584,2025-11-15 22:35:22.826,1763246122.826074,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 15:39:59.530744,1763246399.530742,2025-11-15 22:39:59.530,1763246399.530556,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 15:39:59.530782,1763246399.5307815,2025-11-15 22:39:59.530,1763246399.530615,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 15:39:59.530799,1763246399.5307987,2025-11-15 22:39:59.530,1763246399.53065,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 15:40:23.594420,1763246423.5944138,2025-11-15 22:40:23.593,1763246423.593833,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 15:44:59.276112,1763246699.2761064,2025-11-15 22:44:59.275,1763246699.275926,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 15:44:59.276182,1763246699.2761807,2025-11-15 22:44:59.276,1763246699.276038,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 15:44:59.276216,1763246699.276215,2025-11-15 22:44:59.276,1763246699.276112,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 15:45:25.228475,1763246725.228469,2025-11-15 22:45:25.228,1763246725.228169,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 15:49:59.148419,1763246999.1484172,2025-11-15 22:49:59.148,1763246999.148288,300.0,speedway-mountain,SSM,299,NA,NA
2025-11-15 15:49:59.148451,1763246999.148451,2025-11-15 22:49:59.148,1763246999.148335,300.0,speedway-mountain,MAP,0,NA,NA
2025-11-15 15:49:59.148468,1763246999.1484675,2025-11-15 22:49:59.148,1763246999.148372,300.0,speedway-mountain,SPaT,0,NA,NA
2025-11-15 15:50:26.154699,1763247026.1546924,2025-11-15 22:50:26.154,1763247026.154315,300.0,speedway-mountain,SRM,0,0,0
2025-11-15 15:54:59.148398,1763247299.1483946,2025-11-15 22:54:59.148,1763247299.148133,300.0,speedway-mountain,SSM,299,NA,NA
